#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DE67
#Date Time: 2026-08-01 21:15:25.280
#Sample rate: 57670.1Hz
#Samples: 4096

Time (s),UART
-0.02450142,X
-0.024484080000000002,X
-0.02446674,X
-0.0244494,X
-0.024432060000000002,h81 Framing Error
-0.02441472,h81 Framing Error
-0.02439738,h81 Framing Error
-0.024380040000000002,h81 Framing Error
-0.0243627,h81 Framing Error
-0.02434536,h81 Framing Error
-0.024328020000000002,h81 Framing Error
-0.02431068,h81 Framing Error
-0.02429334,h81 Framing Error
-0.024276000000000002,h81 Framing Error
-0.02425866,h81 Framing Error
-0.02424132,h81 Framing Error
-0.02422398,h81 Framing Error
-0.02420664,h81 Framing Error
-0.0241893,h81 Framing Error
-0.02417196,h81 Framing Error
-0.02415462,h81 Framing Error
-0.02413728,h81 Framing Error
-0.02411994,h81 Framing Error
-0.024102600000000002,h81 Framing Error
-0.02408526,h81 Framing Error
-0.02406792,h81 Framing Error
-0.024050580000000002,h81 Framing Error
-0.02403324,h81 Framing Error
-0.0240159,h81 Framing Error
-0.023998560000000002,h81 Framing Error
-0.02398122,h81 Framing Error
-0.02396388,h81 Framing Error
-0.023946540000000002,h81 Framing Error
-0.0239292,h81 Framing Error
-0.02391186,h81 Framing Error
-0.023894520000000002,h81 Framing Error
-0.02387718,h81 Framing Error
-0.02385984,h81 Framing Error
-0.0238425,h81 Framing Error
-0.02382516,h81 Framing Error
-0.02380782,h81 Framing Error
-0.02379048,h81 Framing Error
-0.02377314,h81 Framing Error
-0.0237558,h81 Framing Error
-0.02373846,h81 Framing Error
-0.023721120000000002,h81 Framing Error
-0.02370378,h81 Framing Error
-0.02368644,h81 Framing Error
-0.023669100000000002,h81 Framing Error
-0.02365176,h81 Framing Error
-0.02363442,h81 Framing Error
-0.023617080000000002,h81 Framing Error
-0.02359974,h81 Framing Error
-0.0235824,h81 Framing Error
-0.023565060000000002,h81 Framing Error
-0.02354772,h81 Framing Error
-0.02353038,h81 Framing Error
-0.023513040000000002,h81 Framing Error
-0.0234957,h81 Framing Error
-0.02347836,h81 Framing Error
-0.02346102,h81 Framing Error
-0.02344368,h81 Framing Error
-0.02342634,h81 Framing Error
-0.023409,X
-0.02339166,X
-0.02337432,X
-0.02335698,X
-0.023339640000000002,X
-0.0233223,X
-0.02330496,X
-0.023287620000000002,X
-0.02327028,X
-0.02325294,X
-0.023235600000000002,X
-0.02321826,X
-0.02320092,X
-0.023183580000000002,X
-0.02316624,W
-0.0231489,W
-0.023131560000000002,W
-0.02311422,W
-0.02309688,W
-0.02307954,W
-0.0230622,W
-0.02304486,W
-0.02302752,W
-0.02301018,W
-0.02299284,W
-0.0229755,W
-0.022958160000000002,W
-0.02294082,W
-0.02292348,W
-0.022906140000000002,W
-0.0228888,W
-0.02287146,W
-0.022854120000000002,W
-0.02283678,W
-0.02281944,W
-0.022802100000000002,W
-0.02278476,W
-0.02276742,W
-0.022750080000000002,W
-0.02273274,W
-0.0227154,W
-0.02269806,W
-0.02268072,W
-0.02266338,W
-0.02264604,W
-0.0226287,W
-0.02261136,W
-0.02259402,W
-0.022576680000000002,W
-0.02255934,W
-0.022542,W
-0.022524660000000002,W
-0.02250732,W
-0.02248998,W
-0.022472640000000002,W
-0.0224553,W
-0.02243796,W
-0.022420620000000002,W
-0.02240328,W
-0.02238594,W
-0.022368600000000002,W
-0.02235126,W
-0.02233392,W
-0.02231658,W
-0.02229924,W
-0.0222819,W
-0.02226456,W
-0.02224722,W
-0.02222988,W
-0.02221254,W
-0.0221952,W
-0.02217786,W
-0.02216052,W
-0.022143180000000002,X
-0.02212584,X
-0.0221085,o
-0.022091160000000002,o
-0.02207382,o
-0.02205648,o
-0.022039140000000002,o
-0.0220218,o
-0.02200446,o
-0.021987120000000002,o
-0.02196978,o
-0.02195244,o
-0.0219351,o
-0.02191776,o
-0.02190042,o
-0.02188308,o
-0.02186574,o
-0.0218484,o
-0.02183106,o
-0.02181372,o
-0.02179638,o
-0.02177904,o
-0.021761700000000002,o
-0.02174436,o
-0.02172702,o
-0.021709680000000002,o
-0.02169234,o
-0.021675,o
-0.021657660000000002,o
-0.02164032,o
-0.02162298,o
-0.021605640000000002,o
-0.0215883,o
-0.02157096,o
-0.02155362,o
-0.02153628,o
-0.02151894,o
-0.0215016,o
-0.02148426,o
-0.02146692,o
-0.02144958,o
-0.02143224,o
-0.0214149,o
-0.02139756,o
-0.021380220000000002,o
-0.02136288,o
-0.02134554,o
-0.021328200000000002,o
-0.02131086,o
-0.02129352,o
-0.021276180000000002,o
-0.02125884,o
-0.0212415,o
-0.021224160000000002,o
-0.02120682,o
-0.02118948,o
-0.02117214,o
