#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DE67
#Date Time: 2026-08-01 21:15:23.428
#Sample rate: 57670.1Hz
#Samples: 4096

Time (s),UART
-0.02450142,X
-0.024484080000000002,X
-0.02446674,X
-0.0244494,X
-0.024432060000000002,X
-0.02441472,X
-0.02439738,X
-0.024380040000000002,X
-0.0243627,X
-0.02434536,X
-0.024328020000000002,X
-0.02431068,Ò
-0.02429334,Ò
-0.024276000000000002,Ò
-0.02425866,Ò
-0.02424132,Ò
-0.02422398,Ò
-0.02420664,Ò
-0.0241893,Ò
-0.02417196,Ò
-0.02415462,Ò
-0.02413728,Ò
-0.02411994,Ò
-0.024102600000000002,Ò
-0.02408526,Ò
-0.02406792,Ò
-0.024050580000000002,Ò
-0.02403324,Ò
-0.0240159,Ò
-0.023998560000000002,Ò
-0.02398122,Ò
-0.02396388,Ò
-0.023946540000000002,Ò
-0.0239292,Ò
-0.02391186,Ò
-0.023894520000000002,Ò
-0.02387718,Ò
-0.02385984,Ò
-0.0238425,Ò
-0.02382516,Ò
-0.02380782,Ò
-0.02379048,Ò
-0.02377314,Ò
-0.0237558,Ò
-0.02373846,Ò
-0.023721120000000002,Ò
-0.02370378,Ò
-0.02368644,Ò
-0.023669100000000002,Ò
-0.02365176,Ò
-0.02363442,Ò
-0.023617080000000002,Ò
-0.02359974,Ò
-0.0235824,Ò
-0.023565060000000002,Ò
-0.02354772,Ò
-0.02353038,Ò
-0.023513040000000002,Ò
-0.0234957,Ò
-0.02347836,Ò
-0.02346102,Ò
-0.02344368,Ò
-0.02342634,Ò
-0.023409,Ò
-0.02339166,Ò
-0.02337432,Ò
-0.02335698,Ò
-0.023339640000000002,Ò
-0.0233223,Ò
-0.02330496,Ò
-0.023287620000000002,X
-0.02327028,X
-0.02325294,J
-0.023235600000000002,J
-0.02321826,J
-0.02320092,J
-0.023183580000000002,J
-0.02316624,J
-0.0231489,J
-0.023131560000000002,J
-0.02311422,J
-0.02309688,J
-0.02307954,J
-0.0230622,J
-0.02304486,J
-0.02302752,J
-0.02301018,J
-0.02299284,J
-0.0229755,J
-0.022958160000000002,J
-0.02294082,J
-0.02292348,J
-0.022906140000000002,J
-0.0228888,J
-0.02287146,J
-0.022854120000000002,J
-0.02283678,J
-0.02281944,J
-0.022802100000000002,J
-0.02278476,J
-0.02276742,J
-0.022750080000000002,J
-0.02273274,J
-0.0227154,J
-0.02269806,J
-0.02268072,J
-0.02266338,J
-0.02264604,J
-0.0226287,J
-0.02261136,J
-0.02259402,J
-0.022576680000000002,J
-0.02255934,J
-0.022542,J
-0.022524660000000002,J
-0.02250732,J
-0.02248998,J
-0.022472640000000002,J
-0.0224553,J
-0.02243796,J
-0.022420620000000002,J
-0.02240328,J
-0.02238594,J
-0.022368600000000002,J
-0.02235126,J
-0.02233392,J
-0.02231658,J
-0.02229924,J
-0.0222819,J
-0.02226456,J
-0.02224722,J
-0.02222988,X
-0.02221254,X
-0.0221952,B Framing Error
-0.02217786,B Framing Error
-0.02216052,B Framing Error
-0.022143180000000002,B Framing Error
-0.02212584,B Framing Error
-0.0221085,B Framing Error
-0.022091160000000002,B Framing Error
-0.02207382,B Framing Error
-0.02205648,B Framing Error
-0.022039140000000002,B Framing Error
-0.0220218,B Framing Error
-0.02200446,B Framing Error
-0.021987120000000002,B Framing Error
-0.02196978,B Framing Error
-0.02195244,B Framing Error
-0.0219351,B Framing Error
-0.02191776,B Framing Error
-0.02190042,B Framing Error
-0.02188308,B Framing Error
-0.02186574,B Framing Error
-0.0218484,B Framing Error
-0.02183106,B Framing Error
-0.02181372,B Framing Error
-0.02179638,B Framing Error
-0.02177904,B Framing Error
-0.021761700000000002,B Framing Error
-0.02174436,B Framing Error
-0.02172702,B Framing Error
-0.021709680000000002,B Framing Error
-0.02169234,B Framing Error
-0.021675,B Framing Error
-0.021657660000000002,B Framing Error
-0.02164032,B Framing Error
-0.02162298,B Framing Error
-0.021605640000000002,B Framing Error
-0.0215883,B Framing Error
-0.02157096,B Framing Error
-0.02155362,B Framing Error
-0.02153628,B Framing Error
-0.02151894,B Framing Error
-0.0215016,B Framing Error
-0.02148426,B Framing Error
-0.02146692,B Framing Error
-0.02144958,B Framing Error
-0.02143224,B Framing Error
-0.0214149,B Framing Error
-0.02139756,B Framing Error
-0.021380220000000002,B Framing Error
-0.02136288,B Framing Error
-0.02134554,B Framing Error
-0.021328200000000002,B Framing Error
-0.02131086,B Framing Error
-0.02129352,B Framing Error
-0.021276180000000002,B Framing Error
-0.02125884,B Framing Error
-0.0212415,B Framing Error
-0.021224160000000002,B Framing Error
-0.02120682,B Framing Error
-0.02118948,B Framing Error
-0.02117214,X
